V2,V3,V4,V5,V7,V8,V9,V10,Q1,Q44,Q45_1,Q45_2,Q45_3,Q45_4,Q45_1,Q45_2,Q45_3,Q45_4,Q2,age,gender,self-disc,disc time_1,disc time_2,disc time_3,disc time_4,Q10,learn,learn_time_1,learn_time_2,learn_time_3,learn_time_4,Q13,perform,perf_time_1,perf_time_2,perf_time_3,perf_time_4,Q16,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q19,Q20,Q21_1,Q21_2,Q21_3,Q21_4,Q37,Q38,Q39_1,Q39_2,Q39_3,Q39_4,Q40,Q41,Q42_1,Q42_2,Q42_3,Q42_4,att check,note,note_time_1,note_time_2,note_time_3,note_time_4,Q24,PT_1,PT_2,PT_3,PT_4,PT_5,emp,DG,DG_time_1,DG_time_2,DG_time_3,DG_time_4,LP scale 1_1,LP scale 1_2,LP scale 1_3,LP scale 1_4,LP scale 1_5,LP scale 1_6,LP scale 1_7,LP scale 1_8,LP scale 1_9,Q31_1,Q31_2,Q31_3,Q31_4,LP scale 2_1,LP scale 2_2,LP scale 2_3,LP scale 2_4,LP scale 2_5,LP scale 2_6,LP scale 2_7,LP scale 2_8,Q34_1,Q34_2,Q34_3,Q34_4,Q50,Q46
Default Response Set,Anonymous,,,0,5/29/13 13:56,5/29/13 14:12,1,1,1,,,,,,,,,1,58,2,"Currently unemployed; looking for bookkeeper or accounting clerk position. I sew and make make quilts. Happened by chance to hear about the Dream Rocket project. Someone wants to wrap the Saturn V rocket in Huntsville, AL, in a quilt. As you can imagine, there are plenty of Scout troops and classrooms doing panels, but there's a few individuals, and I'm one of them. My panel is mostly finished - I've let it sit wrapped up in abg for the last few months. I think it's done, but since I had the time to take a break, decided to use it. Not look at it for a while, see it with new eyes, and if it needs more work. I don't  think it does, so soon I'll bind it and mail it in. ",1.291,53.474,238.736,2,1,"Met someone new at the DuPage party a while ago. This is a group of friends, science fiction fans, who meet a t someone's house once a month for a pot-luck party, to talk about fandom, and anything else that might be interesting. Actually learna bout the new person gradually, as information is given in regards to plans, conventions, etc.  /  / I still suck at social situations. No hope there. ",2.141,2.141,227.228,1,,,,,,,,,,,,,1,1,0,0,22.48,0,,,,,,,,,,,,,Long-term boyfriend broke up with her.,"You've probably heard this, but - you're still young. It's not the end of the world. Yes, things will suck for a while. I'm betting a lot of your usual activities, esp. outside of class, aren't what they used to be? Time to get your own. See what movies YOU want to see, listen to music YOU want to hear, that sort of thing. Seeing as how this relationship began in high school, being by yourself, choosing just for you alone might be new. It's way cool. Enjoy it. It's okay to miss him for a while - he was a major part of your life for several years, that doesn't disappear overnight. Take the opportunity to figure out what you want to do, or be, and how ou're going to make it happen.  /  / And then get off my lawn. (Just kidding - going to hear that new band?I might just see you there....)",1.264,292.751,304.837,4,1,5,6,3,5,3,4,0,1.521,1.521,10.916,1,6,5,4,5,4,4,6,4,4,3.547,28.635,29.462,9,5,5,4,5,5,7,4,3,3.723,25.529,26.358,8,2,1
Default Response Set,Anonymous,,,0,5/29/13 17:35,5/29/13 17:45,1,1,1,,,,,,,,,1,39,2,"I'm a well educated woman who works in healthcare. I got married in my late thirties and now, at age 39, I am expecting my first child. I have been working hard and probably will until e baby come. It helps stave off boredom.",6.259,6.259,120.335,1,1,"I was at meeting for a me job. I had a friend with me who was starting also. We went othemeeting and pretty much kept to ourselves until thy asked us to introduce ourselves to he group.. /  / There was. Young Indian girl sitting in front of me, she introduced herself and we got to talking. We became good friends from that day on. I learned a lot bout her culture and sometimes, participated in it. We stay close to this day.",11.782,11.782,185.05,1,,,,,,,,,,,,,1,1,0,0,17.933,0,,,,,,,,,,,,,She broke up with her boyfriend.,I wouldn't worry too much about your boyfriend. He sounds very immature. You are young and need to spread your wings and date other people. You would be miserable if you were tied down to the same man for your whole life.,8.514,8.514,82.391,1,1,2,6,1,4,1,6,5,9.407,9.407,12.753,1,6,6,4,5,4,5,6,6,3,4.633,24.587,25.467,9,6,2,6,6,5,6,4,4,4.642,20.359,22.047,9,2,1
Default Response Set,Anonymous,,,0,5/29/13 22:19,5/29/13 22:34,1,1,1,,,,,,,,,1,62,1,"I am just a very hardworking person.I'm trying to make my american dream come true,and work to achieve my goals.I enjoy learning new things and going on vacations.I am very excited to report the most recent interesting event that has happened to me. I have became a grandpa.I have a new babygirl in my life now and it is just wonderfull.",7.82,77.9,180.751,3,,,,,,,1,"I had to meet with my former boss. I was asking for a job and he wanted me to perform a few short test tasks in front of him. He was very nice and seemed to be satisfied with my work.I knew he liked mebecause it was our first meeting. I was trying my best to leave a good impression of myself and my work ethics. I believe it helped that he was a stranger because he didn't know any of my failuresor weaknesses. I got the job and we remain friends today, all except the company shut down years ago.",3.688,184.641,185.007,8,,,,,,,,,,,,,,,,,,,1,1,46.789,58.076,59.218,7,"To explain something interesting, the worker chose to talk about his recent breakup with his girlfriend.","I read your response to the kellogg survey about your interesting event. I am deeply sorry for the loss of your relationship. Many times I have been in your shoes and I don't understand how people can be together so long and throw it awayjust because they want to be a little more curious. I wish things were like they were a long time ago, where one man chose one woman and they lived together untill they died. Your friends are right you will find the right one she is right around the corner in your lifes path. It will take a little time but when you are done healing with this relationship you will be ready to start anew andonly then will you find the love you need. Thanks, hope all is well and remember time heals all wounds!",8.154,8.154,209.647,1,1,1,7,1,7,1,7,0,17.403,17.403,24.401,1,7,7,1,7,5,7,1,5,7,5.64,33.721,34.546,10,7,7,7,7,7,7,1,7,3.681,28.417,29.856,8,2,1
Default Response Set,Anonymous,,,0,5/29/13 23:21,5/29/13 23:30,1,1,1,,,,,,,,,1,22,2,"I am a recent college graduate from Indiana.  The week after graduation I decided to move out to Los Angeles in order to pursue my career in multimedia entertainment.  I have a girlfriend and a dog, who I love very much.  I have one nephew and a niece on the way.  Family is very important to me, which made it very difficult to move from home.",3.15,79.811,80.579,2,1,"As I recently got a new job in a new city, I was forced to meet lots of new people.  In order to have friends and people to confide in in this new city, I had to be extremely friendly and open to new relationships.  To make me seem likable, I shared my interested with others in hopes that they too shared the same interests. Where I live now holds people of all different backgrounds, so it is important to bond over the city we are located and the job we are at, since that is one of the few things we have in common.  It is very important for me to have a positive attitude and outlook when meeting new people that could potentially be new friends.",10.508,68.473,117.027,4,,,,,,,1,1,0,0,24.663,0,,,,,,,,,,,,,,,,,,,She is a 21 year old female who recently broke up with her boyfriend.,"Hey!  So sorry to hear about your boyfriend.  I too am a female (22) and have been in a relationship since high school.  I am a firm believer, however, that things happen for a reason.  And if your boyfriend wants to date other people that is probably for the best.  I know I don't know you or your boyfriend, but something good is bound to come your way!  I know it is difficult to understand, but I really feel that when one door closes another one opens, and if that means that you and your boyfriend don't end up together, then that's what it means.  And you still have tons of time to find another romantic interest, and possibly learn more about yourself in the process!  Who knows, maybe this boy is for you and he will reenter your life in the future!  I hope that makes you feel better, please listen to your friends and try to be happy.  There is no time to waste on being sad when life is so short!  He is just a small dot in your painting of life!",2.143,32.372,146.073,3,1,1,4,2,1,1,6,10,7.55,7.55,12.428,1,6,6,3,4,3,6,6,6,3,7.752,36.64,38.026,10,6,6,7,6,5,7,6,5,3.343,26.584,27.942,9,2,1
Default Response Set,Anonymous,,,0,5/29/13 23:30,5/29/13 23:41,1,1,1,,,,,,,,,1,27,2,I am a mother and a wife.  I am a homemaker to my baby who is now 2.  She has recently been diagnosed with a mild case of cerbral palsy.  It is a challenge to stay strong and to work with her to ensure her progression.  She is wonderful and she makes me so happy.  I love to take a ton of pictures of her and scrapbook them.  We also all love to go to Cedar Point together.  ,9.702,9.702,93.889,1,,,,,,,1,I met a girl in passing that we had a friend in common with.  I knew she liked some of the same things I did so I wanted to be her friend.  We ended up meeting up at Cedar Point in a random social situation.  I was nervous because I wanted to be her friend.  We ended up talking and laughing about all the things we have in common.   I was very agreeable and asked questions so I came across as likeable.  I really do feel that I'm likeable.  I'm always giving compliments and such.   She ended up going on our family vacation with me and my family. ,4.215,176.21,181.74,19,,,,,,,1,1,0,0,55.726,0,,,,,,,,,,,,,The black woman and her boyfriend breaking up in college,"Do not worry.  Relationships end all the time and there are other fish in the sea.  I'm sure you are a wonderful catch and now you can meet other people as well.  Things happen for a reason, so don't let this get you down.  Enjoy your time in college!  ",9.922,9.922,64.759,1,1,2,5,2,4,1,3,0,12.588,12.588,16.728,1,7,6,2,5,2,5,5,3,2,7.966,67.236,68.554,10,7,5,6,6,2,7,5,4,7.016,42.128,47.588,8,2,1
Default Response Set,Anonymous,,,0,5/30/13 0:11,5/30/13 0:23,1,1,1,,,,,,,,,1,27,2,"I have recently joined a recreational softball team.  I have never played on a team but I have been known to hit the ball around on occasion.  We are not the worst team ever, but need some practice.  Last game I did okay getting one hit, one walk, and popped out twice.",31.771,31.771,172.01,1,1,Getting to know someone for me is fairly easy because I love to ask questions.  I just like to know who I am talking to.  I met a new co worker recently and I spent our entire shift together just asking questions.  I try to keep them not to personal but sometimes those things will come out in the conversation.,16.268,16.268,144.658,1,,,,,,,1,1,0,0,44.552,0,,,,,,,,,,,,,,,,,,,She recently broke up with her boyfriend.,I am sorry your in a rough patch of your life kid.  Keep your chin up and just have fun.,6.613,6.613,47.527,1,1,2,4,2,4,2,4,0,11.828,11.828,14.71,1,4,5,5,5,3,5,2,4,3,11.612,51.7,52.864,9,4,6,5,5,4,7,5,5,5.774,37.473,38.651,8,2,1
Default Response Set,Anonymous,,,0,5/30/13 0:58,5/30/13 1:09,1,1,1,,,,,,,,,1,38,2,"I am a married mother of 4 children. I raised them as a single parent most of their lives. They are all now 18 and older and have moved out on their own. I am a transcriptionist by trade and own my own small business. I enjoy fishing, hunting and an occasional trip to the casino with my husband. I think the most interesting thing that has happened to me recently is becoming an ""empty nester"". I enjoyed helping my daughters look for and get their first apartment together!",9.436,9.436,160.596,1,,,,,,,1,"I met my now husband at a 4th of July party. I was introduced to him by some mutual friends. We began talking then he asked if he could buy me dinner. We arrived at he diner along with everyone else, and he had forgot his wallet!! It was humorous, but he managed to go back to his hotel and get it, the night went very smoothly. I am very outgoing and don't usually meet strangers, he said that he really noticed that about me right off.",10.916,10.916,175.447,1,1,1,0,0,35.293,0,,,,,,,,,,,,,,,,,,,"to write about something interesting, in this case her boyfriend broke up with her",There are many fish in the sea. You are young still and have your whole life ahead of you. Just don't let it get you down. I wish the best for you always.,9.196,9.196,56.146,1,1,3,5,3,5,2,4,13,10.927,10.927,19.742,1,6,6,6,6,6,4,4,6,4,7.485,34.787,35.595,10,6,6,4,6,6,7,6,6,4.179,28.159,28.828,9,2,1
Default Response Set,Anonymous,,,0,5/30/13 1:00,5/30/13 1:21,1,1,1,,,,,,,,,1,18,2,"I am a newly graduate and I am 18 years old. I am a tech prep student and graudated with 3,500 dollars in scholarships. I am a hard worker, I love working with people. I want to be in the medical field, my dream is to become a nurse. So far I have became an EMT. I am going to be getting married, in about a year. I always like to help people even if I do not get along with them. I do not like to see people hurt or upset. I feel that it is my job to help others as much as I can. ",12.323,12.323,190.73,1,,,,,,,1,"When I was going to court about my dog attach, I had to speak with a newly person to my knowledge about my side of the situation. He at first didn't want to believe anything I had to say, but I broke him down in a nice way. I first had to talk to him and see what he think is funny and what not. So I make a complete fool out of my self just to get this lawyer to defend me in my case. He originally didn't want my case, but I talked him into taking my case for my plead. I need to have the person like me for my personality, which is great that I have awsome communication skills.",28.275,28.275,262.768,1,,,,,,,1,1,0,0,64.12,0,,,,,,,,,,,,,"She was supposed to write something interesting about her and some thing that has happened, and she talked mainly about her brake up with her boyfriend who she had been dating since junior year of high school.","I know exactly how you feel. My friends always told me that something good will happen, but honeslty I gave up. There were too many things going on that were terrible. Then one day out of the blue I met the man of my life. It was really odd though. I was being dumb and ran right into him by accident. I wasn't paying attention to where I was walking. I also hit the ground cause it was a weird ram. He helped me up and his beautiful blue eyes just sparkled, and I just knew he was the one. Sweetie you should never give up like I did, also never keep your self down. You only live once, and you should make the best of it!",10.844,10.844,259.583,1,1,4,6,1,2,1,7,0,26.517,26.517,29.793,1,7,7,4,7,6,7,1,7,7,12.114,67.456,68.704,9,7,7,5,7,7,7,5,5,4.186,39.314,40.143,9,2,1
Default Response Set,Anonymous,,,0,5/30/13 2:25,5/30/13 2:38,1,1,1,,,,,,,,,1,21,1,"I am very honest and hardworking, I care a lot about the people that I love. Something interesting that happened to me recently was moving into a new home, a smaller apartment complex which is much different than what I am used to, having previously lived only in owned houses. It's an interesting change up, most times I am not too fond of change but this change is okay for me.",0.832,0.832,110.665,1,1,"When first meeting a step sister of mine; when meeting someone new it is always tricky to know what to say since you are not sure how they react to things or really waht they like, she was generally from the same area as me she seemed nice from the start which is always a plus. Seeing how she was easy to talk to and learning how to start talking to her made me feel more confident in talking to other people I don't know.",1.112,1.112,139.17,1,,,,,,,,,,,,,,,,,,,1,1,0,0,37.258,0,,,,,,,That he had just broken with his girlfriend because she wanted to date other guys.,"I have gone through similar experiences in the past, it's very difficult to deal with the rejection. Generally to move on from it, you need to do just that...move on. Find someone else to date and it will significantly help with the loneliness that is left over from the break up. If that isn't something you want to do yet, there's always trying to distract yourself with working on something or simply watching television, movies, or playing games. / Definitely it's not a good idea to dwell on it... Even though it's difficult not to dwell on it you have to find a way not to since obviously that's not going to make anything better. Thinking about her isn't going to make her come back. Don't let her make you feel bad, just focus on anything but her and it'll get better slowly.",0.663,229.816,230.147,2,1,2,6,1,5,1,6,5,10.925,10.925,15.452,1,5,7,5,6,5,6,3,5,5,8.88,48.969,12.044,12,6,6,5,7,6,7,7,6,10.601,41.884,42.547,14,2,1
Default Response Set,Anonymous,,,0,5/30/13 12:01,5/30/13 12:13,1,1,1,,,,,,,,,1,35,2,I am a mom and a grandmother.  My grandchildren call me Nana and they are the light of my lives.  I stay home and keep the grandchildren whenever possible.  I love to crochet in my spare time.,4.222,4.222,47.989,1,,,,,,,1,When I meet someone new I try to figure out who they are and what their family life is like.  I can generally chat with new people at ease. ,5.288,5.288,46.009,1,1,1,0,0,42.811,0,,,,,,,,,,,,,,,,,,,Something that has happened to the lady recently.  Her boyfriend had broke up with her.,"Things will get better.  Remember the ""set me free"" saying, and I don't really know what it says, except, set him free and if he really loves you he will come back to you.  Maybe he will.  If he doesn't, you could have invested a few more years in this guy and he still would have left.  Now you have the opportunity to meet other men and maybe find your true love.",3.337,3.337,98.395,1,1,2,6,1,6,1,6,0,49.374,54.446,59.257,2,5,6,5,6,5,6,5,6,6,5.644,36.177,37.03,9,7,7,7,7,6,7,7,6,3.448,32.98,33.689,8,2,1
Default Response Set,Anonymous,,,0,5/30/13 12:24,5/30/13 12:29,1,1,1,,,,,,,,,1,31,1,I am an easy going living life to the fullest gentleman..i recently lost a loved one.,2.952,2.952,49.452,1,1,just engage in casual conversation / ,1.669,1.669,26.092,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,31.218,0,guy broke up with girlfriend because she didn't want to be tied down,plenty of fish in the sea,10.417,10.417,20.525,1,1,2,6,2,6,4,3,0,5.54,5.54,8.5,1,4,4,4,4,4,4,4,4,4,2.125,6.876,8.66,9,4,4,4,4,4,4,4,4,1.817,5.755,6.667,8,2,1
Default Response Set,Anonymous,,,0,5/30/13 12:26,5/30/13 12:38,1,1,1,,,,,,,,,1,36,2,"I am a pretty shy person, until you get to know me.  I love in a college town and work at a veterinary hospital.  I LOVE animals.  All Animals.  I try and help them in any way that I can.  I love to be the voice for the animals that have no voice.  ",1.258,1.258,123.256,1,,,,,,,1,"I am a shy person.  Everytime I meet someone new, it takes me quite awhile to warm up to that person.  I am not very good at meeting new people.  Some people think that I am being rude, but really I am observing and trying to decide if the new person would be someone I would want to be friends with.  ",3.188,3.188,82.083,1,,,,,,,1,1,0,0,57.226,0,,,,,,,,,,,,,About the girl breaking up with her boyfriend,"I read your paragraph.  One thing to remember.  If someone doesn't want to be with you for you, then he doesn't deserve you.  He sounds like he is going through a period in his life that he doesn't want to be tied down.  It is always hard to break up with a parner.  I have been there myself.  It is not easy!  Time will heal wounds.  But ya know what they say...Easier said than done!",1.22,1.22,117.155,1,1,1,7,1,7,1,4,0,11.959,11.959,13.975,1,6,6,2,6,2,6,5,5,2,60.01,97.256,98.07,11,6,6,6,6,6,7,6,6,8.846,32.262,32.962,8,2,1
Default Response Set,Anonymous,,,0,5/30/13 12:56,5/30/13 13:29,1,1,1,,,,,,,,,1,22,1,"I am a college student studing to be an anthropologist. Most of my time is divided up between school and working. My hobbies include lacrosse, exercising and music. I am also in a deathcore band where I provide vocals and bass. After I graduate I will be joining the Air Force because it is something I've always wanted to do. ",115.062,333.531,397.031,3,,,,,,,1,I was at school function where there was a gathering of a bunch of us just hanging around. I was walking around when I saw this girl who was attractive. I decided I should talk to this girl. I wanted her to like me so I had to watch what I said to help be more likeable.,4.062,819.031,955.078,6,,,,,,,,,,,,,1,1,0,0,54.593,0,,,,,,,that him and his girlfriend broke up,You and your girlfriend broke up well that sucks for the time being. You'll get over it if you haven't already because you'll find someone else. So fuck it and have fun.,9.89,9.89,174.672,1,1,3,4,5,5,2,2,0,11.188,11.188,16.375,1,6,6,6,5,5,6,6,5,5,7.203,48.406,49.047,9,5,6,6,6,5,7,5,6,11.766,37.75,38.547,8,2,1
Default Response Set,Anonymous,,,0,5/30/13 15:03,5/30/13 15:15,1,1,1,,,,,,,,,1,20,1,I am a college senior living across the country from home. I ride a motorcycle and am an officer in my fraternity. I also my rugby for my school and am active in my religious community. I work two on campus jobs as well as one off campus.,14.495,14.495,73.551,1,,,,,,,1,During Rush for my fraternity we have to meet dozens of rushees. We need to impress them just as much as they need to impress us. Cool confidence is key. It helps that I am with my brothers when we meet people who want to join our group. I have group to fall back on whereas they do not.,1.034,72.73,134.006,2,,,,,,,,,,,,,1,1,32.235,32.235,32.689,1,,,,,,,Introducing himself.,"You must have really like this girl, or she must have been very attractive, to want to stay with her through college. Now that you are single, you can finally enjoy college. You may not meet a new girl every night, but pretty soon you'll find that she was right and its better to not be tied down.",1.344,1.344,96.903,1,1,2,6,5,2,6,1,0,9.412,12.731,13.672,3,6,6,6,6,3,4,6,3,2,46.675,99.44,101.235,11,6,2,5,5,3,7,6,2,3.653,118.395,119.395,8,2,1
Default Response Set,Anonymous,,,0,5/30/13 14:36,5/30/13 15:24,1,1,1,,,,,,,,,1,49,2,"I am a mother of 3 daughters, and one son,and one step son . I live with my youngest daughter which is 17 years old and my 22 year old son in a small house. I have 15 cats and one stinky old dog. Their Dad is an over the road truck driver and is gone for up to 50 days before he comes home for a brief 3 or 4 days and then he's gone again. My oldest daughter which is 29 is married and has an 11 year old daughter, and twin boys that are 6 years old. I don't see them often because they are really busy all the time,live over 30 miles away,but the main reason I believe is because I have too many cats and a stinky dog. Recently my second oldest daughter who is 23 got married and just informed me she is pregnant. I see her quite often and she is now concerned about being in my house because of the cats because her husband is allergic to them ,he says. Needless to say , I decided that if I ever going to see my grand babies I'm going to have to get the cats out of the house, of which I have done. Actually , I like it better ,and now see what pain in the neck I have been putting up with having so many cats in the house. Grand babies or cats. Grand babies it is.",18.265,1019.703,1027.779,25,,,,,,,1,"When I met my daughter's new husband, of course I wanted to get to know him to see what type of a person he is and also to present myself as a likable person to him.So we  asked them out for dinner and had a nice conversation getting to know each other. I found out that he is from India and that he is Hindi. Our family is white and are Christian. Never the less, I was very interested in his culture and asked lots of questions.  /  / I think he likes me because he seems to like telling me about India and his culture . I am pleased that in India they have many gods and Jesus is one God that they except. So knowing this, I know that my daughter doesn't have to give up her Christian beliefs to be with him.",37.96,807.38,819.32,13,1,1,0,0,54.152,0,,,,,,,,,,,,,,,,,,,She broke up with her boyfriend of a long time because he wants to date other girls and doesn't want to be tied down to just her. Her feelings are hurt.,"I know that it seems a long time that you have been dating this guy and you are very attached to him, but it is not the end of the world yet. You are very young and just getting your life started. It will be easier to get through college without a boyfriend any how even though I know you must feel betrayed. I'm sure other nice guys will be interested in you and want to spend time with you. There is an old saying , If you love someone and they want to leave, set them free. If they never come back , then they were never yours. If they do come back then it was meant to be.",23.092,436.443,456.917,2,1,1,7,1,7,1,6,0,13.648,13.648,17.002,1,6,6,3,6,5,6,5,5,3,9.484,50.96,51.844,9,6,6,5,6,5,7,6,5,9.431,50.271,50.929,8,2,1
Default Response Set,Anonymous,,,0,5/23/13 15:59,5/23/13 16:04,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Default Response Set,Anonymous,,,0,5/23/13 16:09,5/23/13 16:10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Default Response Set,Anonymous,,,0,5/23/13 17:17,5/23/13 17:18,0,1,1,,,,,,,,,1,26,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Default Response Set,Anonymous,,,0,5/23/13 18:10,5/23/13 18:23,0,1,1,,,,,,,,,1,56,1,I am a 56 year old retired white male. I am an artist and creative endeavors are a major part of my life. The most interesting thing to happen to me recently was discovering Mturk and how much fun it is to participate in surveys while getting paid.,1.691,1.691,87.784,1,1,"I went out on a boat with a neighbor that i did not know well at all. It was interesting to discover aspects of his personality within the context of a fishing trip. You can learn a lot about someone by learning their attitudes towards nature and how they take care of things like their boat and fishing gear. Every time you learn something about someone, that is applicable to some degree to other social situations and extend  your mastery of that.",2.887,2.887,161.199,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,23.462,0,That he broke up with his girlfriend and the effect it has on his life,"Hello, It's always heartbreaking to have your love rejected. I think it has more impact when you are younger because you probably haven't experienced that as much. However, people that have been through that situation in life a few times can put it in context of their overall life experience and realize that time really does heal all wounds.",5.824,5.824,113.116,1,1,1,6,2,7,1,5,10 cents,12.443,12.443,18.212,1,4,3,5,5,5,6,2,6,6,5.593,31.429,32.495,10,5,6,3,5,6,7,3,5,3.999,27.334,28.601,8,2,
Default Response Set,Anonymous,,,0,5/23/13 21:23,5/23/13 21:26,0,1,1,,,,,,,,,1,41,1,I'm a journalist who has covered some big stories over the years. I talked to a soldier who just came home with his wife. It was a great day and I enjoyed it.,5.884,5.884,91.305,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Default Response Set,Anonymous,,,0,5/23/13 22:29,5/23/13 22:37,0,1,1,,,,,,,,,1,32,1,"I met Courtney Love and hung out with her in NYC during the Christmas holiday. Not much to say except that she's an amazing women, and so much fun.",8.855,65.758,211.029,3,1,For a whole $.25?? Really????????,21.679,21.679,38.279,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,7.084,0,To make people do ridiculous amounts of bullshit work for a friggin $.25,Fuck you idiots,2.515,2.515,9.937,1,1,1,1,1,1,1,4,0,9.574,9.574,11.221,1,1,1,1,1,1,1,1,1,1,1.636,7.308,11.164,9,1,1,1,1,1,1,1,1,1.207,5.23,7.541,8,,
Default Response Set,Anonymous,,,0,5/23/13 22:40,5/23/13 22:40,0,1,1,,,,,,,,,1,28,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Default Response Set,Anonymous,,,0,5/24/13 0:48,5/24/13 0:57,0,1,1,,,,,,,,,1,57,2,"Howdy. Pleased to meet you. I live in Texas, have all my life. I live way far out in the country, so most of the time it is just me, the cats, the cows, and an occasional coyote, skunk, raccoon, or wild hog. Less often people will show up out here, but that is a rare occurance. I like it out here. I named the place Tranquility Farm. I have room for guests, but I don't encourage folks to come out often. You see, I am restoring a 150-year old log cabin. It was being used as a soap and candle factory and the owner wants it turned back into a home. It's a fun job, but somebody has to do it. We recently had kittens and calves out here, so there is something to watch. I stay at this construction site all the time. It's like I am a hermit. Or an old witch. Yep,  some evenings I forget to draw the curtains, next thing you know I can see her looking in at me. She mocks me, too. Wears the same clothes, moves when I move. Old hag! I draw the curtains and she goes away. ",2.422,350.44,427.91,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Default Response Set,Anonymous,,,0,5/24/13 10:09,5/24/13 10:10,0,1,1,,,,,,,,,1,39,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Default Response Set,Anonymous,,,0,5/26/13 1:46,5/26/13 1:51,0,1,1,,,,,,,,,1,30,2,"I generally define myself as a bleeding heart liberal vegetarian who likes to run.  I am devoted to my dogs who I consider my family and devoted to my favorite college team.  I'm from the south but don't fit many of the stereotypes, I don't even like sweet tea or collard greens.  My life is not very interesting so I'm grasping at straws to think of something that has happened to me lately -- and sadly, I can't think of anything.  Small town life is not very exciting.",5.037,171.797,217.711,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Default Response Set,Anonymous,,,0,5/26/13 4:27,5/26/13 4:30,0,1,1,,,,,,,,,1,30,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Default Response Set,Anonymous,,,0,5/26/13 10:19,5/26/13 10:22,0,1,1,,,,,,,,,1,53,1,I am a 53 year old veteran of the U.S. Army. I generally do manufacturing or factory work. I live with my girlfriend of 5 years. I am unemployed. I recently planted a garden next to the garage in our backyard.,1.488,1.488,143.664,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Default Response Set,Anonymous,,,0,5/26/13 10:29,5/26/13 10:30,0,1,1,,,,,,,,,1,28,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Default Response Set,Anonymous,,,0,5/26/13 18:30,5/26/13 18:43,0,1,1,,,,,,,,,1,72,2,Today I visited a neighbor who gets online with dsl from peoplepc. It is incredibly slow but when I switched her to the chrome browse ass the default she seem to get on line better.,4.873,5.649,69.784,2,1,"So when I meet you at the annual picnic, I would start by talking about what was fun this week. then I would use the principles of CNVC.COM to clearify what I am hearing and what the feelings and needs of the speaker are in this moment.  /  / My hope would be that the attention I gave the speaker would be the gift of an enhanced appreciation of his/her personal experience.",2.488,67.791,154.502,5,,,,,,,1,1,3.467,19.634,26.665,5,,,,,,,,,,,,,,,,,,,so the other participant had lost her closest relationship and everyone else was telling her what to do,"Sorry to hear about your breakup, you must be pretty devistated. Have you any help dealing with this loss? Are you still feeling that bottomless emptiness or are you understanding the timeliness of this stituation. You said you both had changed and found new needs, which ones are you thinking of in teh moment.....",12.586,12.586,138.08,1,1,1,7,1,7,1,6,25,11.073,11.073,14.976,1,6,6,6,7,6,6,2,6,6,10.883,42.611,43.732,9,5,6,7,4,5,7,6,5,8.973,35.419,36.669,8,2,
